Model,MAE,RMSE,R2,Expected_R2_Range,Matches_Expected_Range,Interpretation
Linear Regression,10.539974718288423,13.175492146126922,0.44204013309116774,0.45-0.75,No,Below expected range.
Decision Tree,12.75401939720914,15.906545180761482,0.18675576021853446,0.45-0.75,No,Below expected range.
k-NN,13.042517777777777,16.093344620726963,0.1675428425508919,0.45-0.75,No,Below expected range.
